[00:00:00--00:00:02] 然后我们接下来进入到下一个环节
[00:20:09--00:20:12] 我的观点还是比较支持下半场的
[00:20:12--00:20:16] 然后我一直是顺利的忠实
[00:20:16--00:20:21] 对我觉得在我们公司的一个非常重要的观察
[00:20:21--00:20:24] 就是我们公司在train模型的人
[00:20:24--00:20:27] 然后从就是在
[00:20:27--00:20:28] 就是
[00:20:28--00:20:31] 然后
[00:20:31--00:20:33] shift到就是准备data和设计benchmark
[00:20:33--00:20:37] 然后这个比例现在开始逐渐超过了50%
[00:20:37--00:20:40] 然后我觉得现在没有产品sense
[00:20:40--00:20:41] 没有taste
[00:20:41--00:20:44] 不知道应该怎么去评估一个模型的同学
[00:20:44--00:20:46] 我基本上都不会招
[00:20:46--00:20:46] 就非常简单
[00:20:46--00:20:49] 就是哪怕他在刷SW
[00:20:49--00:20:52] SW bench
[00:20:52--00:20:53] SW bench
[00:20:53--00:20:57] 然后他如果无法去评价到底什么是一个好的coding agent
[00:20:57--00:21:02] 那我觉得他没有办法来优化这个agent trajectory到底是不是对的
[00:21:02--00:21:10] 然后就所以就是其实所有的这个training的这个算法
[00:21:10--00:21:18] 我从我17年进入清华自动化系开始攻读phd学位开始就是PPO
[00:21:18--00:21:21] 然后到今天为止我们还是用了PPO这个loss
[00:21:21--00:21:24] 然后无非是clip higher还是clip lower
[00:21:24--00:21:25] 对吧
[00:21:25--00:21:29] 就是就是对我觉得就是这个从本质上没有什么变化
[00:21:29--00:21:34] 然后我所以我真的就是预发的感觉到就是提供一个好的taste
[00:21:34--00:21:36] 是至关重要的
[00:21:36--00:21:38] 然后我们公司最重要的人就是
[00:21:38--00:21:42] 那个可以判断出来这个模型train完了以后
[00:21:42--00:21:44] 他是不是能稳稳接住你的人
[00:21:44--00:21:49] 然后我们是严格要求所有的模型train出来都不能稳稳接住你的
[00:21:49--00:21:52] 就是一定要说人话一定要说人话
[00:21:52--00:21:57] 然后但是这个事情说实话就是researcher大部分人是判断不了的
[00:21:57--00:22:01] 然后就是大家是判断出来这个模型他到底有没有在好好说话
[00:22:01--00:22:05] 然后让我想起来就是大家一直在怀念GPT4O
[00:22:05--00:22:09] 然后是因为GPT4O是有一个这个人
[00:22:09--00:22:12] 他是叫lead了一个group叫modal behavior
[00:22:12--00:22:15] 然后我觉得这个非常有趣
[00:22:15--00:22:18] 就是一个模型他的表现应该是什么样
[00:22:18--00:22:21] 然后去define这个人变得就是越来越重要
[00:22:21--00:22:26] 然后我觉得也是在就是在未来的这段时间里会越来越重要的一个角色
[00:22:26--00:22:29] 对
[00:22:29--00:22:31] 我不确定我是不是要分享
[00:22:31--00:22:33] 但但我也可以简单讲一下
[00:22:33--00:22:38] 其实我我觉得可能很少会有一个绝对的概念
[00:22:38--00:22:41] 或者说已经到了下半战或者是没有到
[00:22:41--00:22:44] 因为agent能解决的任务能处达的场景
[00:22:44--00:22:50] 包括agent跟人的关系其实都还在快速的发展和变化过程当中
[00:22:50--00:22:52] 那可以很明显的看到有一些界限吧
[00:22:52--00:22:54] 就是比如说顺语的AI的下半场
[00:22:54--00:22:58] 包括现在agent能慢慢的从研究
[00:22:58--00:23:01] 大家慢慢的关注落地慢慢的越来越多的人去创业
[00:23:01--00:23:04] 包括今天的这个肖层和肖帅对吧
[00:23:04--00:23:06] 那其实我们可以很明显的看到一些界限
[00:23:06--00:23:08] 包括从研究层面
[00:23:08--00:23:12] 单纯从研究层面我们可以很清晰的看到一些界限
[00:23:12--00:23:13] 比如说刚刚我今天分享
[00:23:13--00:23:16] 从reasoning的scaling到acting的scaling
[00:23:16--00:23:19] 到现在的这个模型model加harness
[00:23:19--00:23:24] 所以我们基本上其实是能够看到有一些变化
[00:23:24--00:23:27] 但就是说这个下半场结束之后还有没有驾驶赛
[00:23:27--00:23:29] 或者甚至说还有没有点球大战
[00:23:29--00:23:30] 对吧
[00:23:30--00:23:31] 那这个就不好说
[00:23:31--00:23:32] 但至少我们可以看到
[00:23:32--00:23:35] 就是说从我个人的理解来讲
[00:23:35--00:23:38] 就是大家慢慢的在从研究到业务
[00:23:38--00:23:39] 或者研究到落地
[00:23:39--00:23:42] 或者说从这个reasoning到acting
[00:23:42--00:23:43] 或者说大家在关注
[00:23:43--00:23:46] 因为你到AGI肯定大家就慢慢在
[00:23:46--00:23:49] 我也是觉得在逼近的一个过程当中
[00:23:49--00:23:51] 那在逼近的一个过程当中
[00:23:51--00:23:54] 可能就意味着说大家开始有一个共识
[00:23:54--00:23:55] 就是我们很快了
[00:23:55--00:23:58] 我们前面解决的这个问题可能越来越少了
[00:23:58--00:24:01] 然后我们跨越了大部分的一个障碍
[00:24:01--00:24:03] 可能在这样子的一个视角下
[00:24:03--00:24:07] 我觉得大部分的这样子一个场景或者业务
[00:24:07--00:24:09] 我觉得是进入到一个下半场阶段
[00:24:09--00:24:13] 而且或者说可能下半场之后再有一个冲刺赛
[00:24:13--00:24:16] 或者说加十赛可能也许也就差不多了
[00:24:16--00:24:17] maybe
[00:24:17--00:24:24] ok
[00:24:24--00:24:25] 对然后
[00:24:25--00:24:26] 要不魏文
[00:24:26--00:24:27] 你要分享一下吗
[00:24:27--00:24:28] 你提问的
[00:24:28--00:24:30] 你是怎么看这个东西了
[00:24:30--00:24:31] 嗯
[00:24:31--00:24:32] 就是
[00:24:32--00:24:34] 就是因为我没想明白我才提问的吧
[00:24:36--00:24:37] ok ok ok
[00:24:37--00:24:38] 行那
[00:24:38--00:24:40] 对其实我还蛮想follow up
[00:24:40--00:24:42] 其实接着刚刚的讨论
[00:24:42--00:24:48] 就是说我们一直在聊就是AGI或者是说大家其实也其实大部分的嘉宾
[00:24:48--00:24:50] 其实还是蛮positive的
[00:24:50--00:24:52] 就是觉得AGI要么是已经来了
[00:24:52--00:24:54] 或者说他中将会到来
[00:24:54--00:25:01] 那其实我蛮想follow up之前刚刚魏文或者说刚刚萧帅其实有提到就是人跟Agent之间的关系
[00:25:01--00:25:08] 那如果Agent他自进化的速度或者说他已经达到了AGI
[00:25:08--00:25:10] 他人的这样子的一个价值
[00:25:10--00:25:15] 或者说他的从一个中局思维这个中局的这样一个视角去看
[00:25:15--00:25:21] 你们怎么去看待Agent跟人的这种关系的变化
[00:25:21--00:25:25] 或者说人在这里他大概是一个什么样的一个角色
[00:25:25--00:25:29] 那有没有可能人他能做的事情可能变少了
[00:25:29--00:25:31] 但是人也是一个主导者的角色
[00:25:31--00:25:35] 或者说是这个Agent他能够进化速度非常快
[00:25:35--00:25:36] 他遭到AGI啊
[00:25:36--00:25:39] 他能够解决所有人的任务
[00:25:39--00:25:43] 那在这样子一个中局下
[00:25:43--00:25:44] 人他能做什么呢
[00:25:44--00:25:47] 对所以所以我这个是我的第三个问题
[00:25:47--00:25:50] 所以这个其实也是刚刚的魏文老师的一个follow
[00:25:50--00:25:54] 或者是接着刚刚孝帅所提到的就是人跟Agent的关系
[00:25:54--00:25:58] 对啊我们从啊要不小层你先讲
[00:25:58--00:26:01] 然后到到孝帅然后到魏文老师这样子
[00:26:01--00:26:04] OK应该是余帅余帅老师这个
[00:26:04--00:26:06] 余帅老师哦对sorry
[00:26:06--00:26:08] 那个呃对
[00:26:08--00:26:13] 然后我觉得那个就是这个问题也是我一直在思考的
[00:26:13--00:26:16] 然后我觉得可以稍微引申刚才我在分享最后那句话
[00:26:16--00:26:22] 就是那个就是那个红杉的一个合伙人派
[00:26:22--00:26:24] 然后他在今年红杉的峰会上讲的一句话
[00:26:24--00:26:26] 然后他举的三个例子我觉得都非常好
[00:26:26--00:26:29] 然后第一个例子就是这个铝
[00:26:29--00:26:32] 然后他说这个在美国这个建国的时候
[00:26:32--00:26:38] 这个建国的时候国会大厦上面其实箱了一块他们觉得最贵重的金属
[00:26:38--00:26:42] 然后当时这个这个金属还展览了一个礼拜
[00:26:42--00:26:43] 然后把它嵌入
[00:26:43--00:26:45] 然后这块金属就是铝
[00:26:45--00:26:48] 然后是因为那个时候制造铝是非常不容易的
[00:26:48--00:26:50] 然后但是但是大家都知道
[00:26:50--00:26:53] 现在我们喝的每每一个这个呃这个罐装饮料
[00:26:53--00:26:54] 其实都是铝做的
[00:26:54--00:26:56] 然后他是如此的便宜
[00:26:56--00:26:58] 然后所以就是define这个铝的价值
[00:26:58--00:27:01] 是呃不是由他本身的价值决定
[00:27:01--00:27:03] 而是由他能做什么决定
[00:27:03--00:27:04] 然后第二就是艺术
[00:27:04--00:27:07] 我觉得艺术是一个非常非常好的抽象
[00:27:07--00:27:12] 就是呃今天我们呃可以说在呃这个摄像是摄影上
[00:27:12--00:27:15] 然后我们有各种各样的这个摄影技巧
[00:27:15--00:27:21] 然后是绝对可以超过这个画的最像最像的这个画师他画的画的
[00:27:21--00:27:22] 但是艺术就消失了吗
[00:27:22--00:27:23] 艺术其实没有消失
[00:27:23--00:27:28] 艺术其实更多的出现在了我们生活的每一个这个corner
[00:27:28--00:27:31] 然后我们的每一个吃到的这个包装的设计里面
[00:27:31--00:27:33] 其实都有大量的这个艺术的思考
[00:27:33--00:27:41] 然后包括就是在之前像呃各种这种艺术大师他们去做出来的这种各种主义的这个这个设计
[00:27:41--00:27:45] 然后我感觉在这个这个呃这个维度上面
[00:27:45--00:27:50] 其实大家在追求的就是呃到底这个艺术对人的作用是什么
[00:27:50--00:27:52] 原来可能是我就是使用性的
[00:27:52--00:27:54] 我把它留下来留下来完以后呢
[00:27:54--00:27:57] 这个呃我可能这个呃亲人去世了
[00:27:57--00:27:58] 我还能看到他长什么样
[00:27:58--00:28:00] 然后或者我是一个皇帝
[00:28:00--00:28:03] 然后我希望我的这个长相可以被呃后世铭记
[00:28:03--00:28:09] 然后但是现在这个艺术品在我们的生活里更多的起到的就是非常广泛的作用
[00:28:09--00:28:11] 然后他可以让我们的心情变得非常的愉悦
[00:28:11--00:28:15] 然后他可以引发我们对某一个事物更多的一些思考
[00:28:15--00:28:17] 然后他可以代表我们的一种性格
[00:28:17--00:28:23] 然后这个比如我们设计某一个logo或者某一个球队的这个这个这个一些主题颜色
[00:28:23--00:28:25] 然后他可能能代表我们一种性格
[00:28:25--00:28:29] 所以所以我觉得就是呃这个从智能的这个角度来考虑
[00:28:29--00:28:35] 我们一定要把它从这个实用主义的这个方向给给他摘出来
[00:28:35--00:28:37] 我们创造一个东西永远都是为了去用它
[00:28:37--00:28:39] 而不是去show of power
[00:28:39--00:28:42] 不是为了就是我们能创造一个非常聪明的智能
[00:28:42--00:28:43] 而去创造一个聪明的智能
[00:28:43--00:28:45] 而是他能帮我们去解决什么样的问题
[00:28:45--00:28:47] 能让我们去做什么样的事情
[00:28:47--00:28:51] 然后今天我就充分的感觉到像原来我在读博的时候
[00:28:51--00:28:54] 我有大量的时间都在跟mojoko这个战斗
[00:28:54--00:28:57] 然后这个跟那个starcraft战斗
[00:28:57--00:28:59] 然后去修里面的各种bug
[00:28:59--00:29:00] 然后调里面的参数
[00:29:00--00:29:04] 然后这个我们经常这个我也跟那个上次跟我师弟聊起来
[00:29:04--00:29:06] 然后经常就是吃饭之前
[00:29:06--00:29:08] 然后这个跑上一个curve
[00:29:08--00:29:10] 然后你就过来看那个curve到底跑的怎么样
[00:29:10--00:29:12] 就像盯着你的股票
[00:29:12--00:29:13] 然后他往上跳了一点
[00:29:13--00:29:14] 你就觉得好极了
[00:29:14--00:29:15] 然后过了一会就下来
[00:29:15--00:29:17] 你就会感觉心情极其的沉重
[00:29:17--00:29:18] 然后到今天为止
[00:29:18--00:29:20] 我觉得没有人会做这种事
[00:29:20--00:29:23] 因为就是AI都在替你做这种事情
[00:29:23--00:29:25] 然后他可以不停的看这curve
[00:29:25--00:29:26] 他可以批量跑大量的实验
[00:29:26--00:29:29] 然后我觉得我显然不爱盯着那个curve看
[00:29:29--00:29:31] 但是他关系到我的毕业
[00:29:31--00:29:33] 然后但是这些东西现在都不
[00:29:33--00:29:35] 不会再阻碍这个同学们的毕业了
[00:29:35--00:29:37] 然后大家可以去做各种各样的这种探索
[00:29:37--00:29:40] 所以我觉得就是他还是unlock了各种各样的可能性
[00:29:40--00:29:43] 比如我觉得我非常关心的一个话题
[00:29:43--00:29:45] 就是这个生命健康的问题
[00:29:45--00:29:46] 因为我觉得就是
[00:29:46--00:29:49] 其实在我们科技如此发达的今天
[00:29:49--00:29:52] 我们依然对生命跟这个基因
[00:29:52--00:29:53] 还有癌症一无所知
[00:29:53--00:29:55] 然后我们还是因为亲人
[00:29:55--00:29:57] 会受到各种这种癌症的影响
[00:29:57--00:30:00] 而感觉到生命受到了巨大的打击
[00:30:00--00:30:02] 然后但是我觉得
[00:30:02--00:30:06] AI AGI的出现在一些science的程度上
[00:30:06--00:30:11] 就是问题上面提供了完全全新的一些解法跟可能性
[00:30:11--00:30:13] 然后如果像哈萨比斯说的一样
[00:30:13--00:30:15] 就是可能他十年之内能改造
[00:30:15--00:30:16] 搞定癌症的话
[00:30:16--00:30:19] 我觉得真的是非常伟大的一个事情
[00:30:19--00:30:23] 然后是关系到每一个普通家庭的幸福生活的一个事情
[00:30:23--00:30:28] 所以我感觉就是我们还是有很多这样的事情是需要去解决的
[00:30:28--00:30:36] 然后我相信很多的人其实还是被现在的生活给求易住了
[00:30:36--00:30:38] 就是他还是成为了工具的一部分
[00:30:38--00:30:44] 然后AGI应该很大程度上可以帮助大家去从这个牢笼里面解放出来
[00:30:44--00:30:46] 然后做我们真正想做的一些事情
[00:30:46--00:30:47] 对
[00:30:50--00:30:53] ok 那我接着肖腾老师这边继续讲
[00:30:53--00:30:55] 就是刚刚提到一点
[00:30:55--00:30:58] 就是说人可以有更大的自由度去做更多事情
[00:30:58--00:31:00] 这点我其实是非常认可的
[00:31:00--00:31:04] 然后同时这个事情也说明了一个事情就是会用AI的人
[00:31:04--00:31:06] 当AI能力越来越强之后
[00:31:06--00:31:07] 其实你有更多的事情可以做
[00:31:07--00:31:10] 你不会就是人不会说变得没有事情做
[00:31:10--00:31:12] 这个首先是我觉得不太可能的
[00:31:12--00:31:14] 就是你如果想做事情
[00:31:14--00:31:17] AI只是会帮你加大杠杆了
[00:31:17--00:31:19] 然后你能尝试更多的事情
[00:31:19--00:31:20] 比如你想写代码
[00:31:20--00:31:21] 你想开发一个产品
[00:31:21--00:31:23] 你想去做更多的探索
[00:31:23--00:31:25] 化学科的也好
[00:31:25--00:31:29] 或者说任何样的想法都可以去帮你实现
[00:31:29--00:31:30] 所以说人是越来越忙的
[00:31:30--00:31:32] 就是比如说我现在用AI
[00:31:32--00:31:33] 我感觉就停不下来
[00:31:33--00:31:36] 我非得把额度用掉
[00:31:36--00:31:38] 这个代码得一直让它跑着
[00:31:38--00:31:40] 我心里才觉得踏实
[00:31:40--00:31:42] 就因为我觉得很多东西想做
[00:31:42--00:31:43] 想并行的做
[00:31:43--00:31:45] 所以就把AI用的非常多
[00:31:45--00:31:47] 那人首先是不会去闲着的
[00:31:47--00:31:49] 但是有一个比较残酷的现实
[00:31:49--00:31:52] 就是说这个人和人之间的差距
[00:31:52--00:31:54] 会因为会不会用AI这个事情
[00:31:54--00:31:55] 会拉的更大
[00:31:55--00:31:56] 就是不会用AI的人
[00:31:56--00:32:00] 可能就确实是慢慢的就会更加的边缘
[00:32:00--00:32:02] 就是职业上的选择上面就会更少
[00:32:02--00:32:08] 因为现在比如说我们其实可以听到很多公司开始裁员了
[00:32:08--00:32:11] 特别是因为现在写代码能力比较强
[00:32:11--00:32:13] 程序员一般都会比较焦虑
[00:32:13--00:32:16] 我以前去写代码
[00:32:16--00:32:17] 现在完全不用自己写了
[00:32:17--00:32:18] 我去干嘛
[00:32:18--00:32:19] 大家都在思考这个问题
[00:32:19--00:32:22] 其实我们自己内部也在做这样的变革
[00:32:22--00:32:25] 其实已经是这样了
[00:32:25--00:32:29] 就是说以前我们可能招聘有前端的后端的
[00:32:29--00:32:32] 甚至还有移动端运维各种各种岗位
[00:32:32--00:32:33] 是吧
[00:32:33--00:32:35] 但现在什么东西都可以一个人搞定了
[00:32:35--00:32:38] 你如果说还懂一点产品
[00:32:38--00:32:39] 懂一点设计
[00:32:39--00:32:41] 你完全可以到那端自己搞
[00:32:41--00:32:42] 搞出一个产品
[00:32:42--00:32:46] 不需要和别人更多的合作去做完一个东西
[00:32:46--00:32:49] 那留给人的价值是什么
[00:32:49--00:32:53] 就是我们从人才的选择
[00:32:53--00:32:54] 就是比如说我们招聘
[00:32:54--00:32:59] 我们现在招聘的话也就是招聘这种
[00:32:59--00:33:01] 这种builder的岗位
[00:33:01--00:33:03] 现在我们就不要叫说程序员的岗位
[00:33:03--00:33:04] 因为我觉得程序员这个岗位
[00:33:04--00:33:06] 可能一两年就会真的消失了
[00:33:06--00:33:07] 然后人更重要的能力是说
[00:33:07--00:33:11] 你能理解需求理解用户的一些痛点
[00:33:11--00:33:14] 或者说你能把自己觉得有价值的东西
[00:33:14--00:33:16] 能够build出来
[00:33:16--00:33:18] 然后你能给更多的人
[00:33:18--00:33:20] 我觉得这个价值可能就在于
[00:33:20--00:33:22] 这个人的创造力被激发了
[00:33:22--00:33:24] 我觉得这AI带来的一个非常大的变化
[00:33:24--00:33:27] 然后对于人来说可能就是比较重要的转变
[00:33:27--00:33:29] 就是你要更贴近业务
[00:33:29--00:33:31] 就是我们可能在大公司里面
[00:33:31--00:33:32] 大家可能讲你是做研发的
[00:33:32--00:33:35] 你是做research的
[00:33:35--00:33:37] 或者说你是做业务的
[00:33:37--00:33:39] 那我们觉得人可能更往业务再靠一层
[00:33:39--00:33:43] 现在有个比较火的岗位叫FDE
[00:33:43--00:33:44] 我不知道大家有没有听过
[00:33:44--00:33:46] 就是前端部署工程师
[00:33:46--00:33:49] 这我觉得是一个程序员
[00:33:49--00:33:50] 或者说产品经理
[00:33:50--00:33:53] 甚至是一些销售岗位的朋友
[00:33:53--00:33:56] 他们可以去考虑结合AI去转的一个岗位
[00:33:56--00:33:58] 现在岗位特别火
[00:33:58--00:33:59] 他就是做什么东西
[00:33:59--00:34:02] 就是去别人公司里面去帮别人梳理业务
[00:34:02--00:34:05] 你这个AI要怎么带你公司里面部署好
[00:34:05--00:34:09] 能够跑起来能够真正给你提供价值
[00:34:09--00:34:10] 这个东西其实对人的要求就是说
[00:34:10--00:34:14] 你能够和客户把业务梳理清楚
[00:34:14--00:34:15] 甚至是别人的业务
[00:34:15--00:34:16] 你能不能理解出来
[00:34:16--00:34:20] 然后给AI创造一些context
[00:34:20--00:34:23] AI能帮助你解决别人公司的问题
[00:34:23--00:34:25] 这些岗位的出现
[00:34:25--00:34:28] 其实是人下一步可能需要去
[00:34:28--00:34:32] 其实就是对人的能力的要求的变化
[00:34:32--00:34:35] 你要更加理解业务的一些
[00:34:35--00:34:39] 事情理解需求这些真正能够
[00:34:39--00:34:43] 本质上就是你怎么把给AI的话讲清楚
[00:34:43--00:34:45] 其实就是这么一个事情
[00:34:45--00:34:46] 你要给AI讲清楚
[00:34:46--00:34:47] 他能帮你把事情做好
[00:34:47--00:34:50] 你要把这个话讲清楚
[00:34:50--00:34:52] 一方面是你自己个人表达能力强不强
[00:34:52--00:34:54] 另外一方面就是你真的理不理解这个事情
[00:34:54--00:34:56] 你要去理解事情本身
[00:34:56--00:34:59] 我觉得更是人要去做的事情了
[00:34:59--00:35:01] 你不能只是去看代码解决代码逻辑了
[00:35:01--00:35:03] 你要去解决现实问题
[00:35:03--00:35:06] 我觉得这是对人的一个要求的变化
[00:35:06--00:35:08] 所以说很多人焦虑说
[00:35:08--00:35:09] AI会取代人
[00:35:09--00:35:11] 然后人和AI怎么合作
[00:35:11--00:35:13] 我觉得首先是
[00:35:13--00:35:17] 理解我们怎么和理解怎么用好AI
[00:35:17--00:35:18] 开始用AI
[00:35:18--00:35:22] 然后就会有很多的机会其实给到人
[00:35:22--00:35:23] 我觉得是这样的
[00:35:23--00:35:25] 但是还是很现实的问题
[00:35:25--00:35:27] 就是我们时间中发现很多人
[00:35:27--00:35:28] 他是并没有把AI用得很好的
[00:35:28--00:35:31] 因为我们现在大家可能讨论都是在圈子里面
[00:35:31--00:35:33] 然后把AI用得很深
[00:35:33--00:35:34] 甚至在训练AI的人
[00:35:34--00:35:38] 你会发现其实很多很多人都没有真正开始用AI
[00:35:38--00:35:40] 甚至很基础的豆包
[00:35:40--00:35:42] 或者说其他的一些这种工具
[00:35:42--00:35:47] 而且很多企业内部也都没有AI的相关的东西
[00:35:47--00:35:49] 甚至连数字化都没有怎么做的特别好
[00:35:49--00:35:51] 所以说我觉得真正离落地还是很远
[00:35:51--00:35:55] 然后给人的机会是帮这些公司或者说个人
[00:35:55--00:35:57] 把AI更好的用起来
[00:35:57--00:36:00] 像现在很多政府提倡OPC
[00:36:00--00:36:02] 艺人公司
[00:36:02--00:36:03] 那很多人
[00:36:03--00:36:04] 为什么首先是为什么
[00:36:04--00:36:05] 因为AI
[00:36:05--00:36:08] 用好AI的人他能够提供更多价值
[00:36:08--00:36:11] 那对于那些没有用AI
[00:36:11--00:36:14] 或者说还处于传统公司模式的一些团队
[00:36:14--00:36:16] 那他们要怎么把AI用得更好
[00:36:16--00:36:18] 那这些东西其实是现在很多机会
[00:36:18--00:36:20] 人去可以去做的事情
[00:36:20--00:36:23] 我觉得是这是人和AI现在现阶段
[00:36:23--00:36:26] 我觉得有一些看法
[00:36:26--00:36:32] 那我这个愚帅的来做一下简单的补充
[00:36:32--00:36:35] 就是包括像相当老师
[00:36:35--00:36:37] 愚帅老师都跟大家提供了一些
[00:36:37--00:36:40] 包括最前沿的学术和产业界的一些
[00:36:40--00:36:44] 人和AI的一些变动变化
[00:36:44--00:36:48] 那么我我这边提供一些学术界的当前
[00:36:48--00:36:50] 我们对AI的一个
[00:36:50--00:36:53] 就是怎么去使用AI的
[00:36:53--00:36:56] 那么其实我觉得AI对我来说
[00:36:56--00:37:00] 它是拓宽了我的这个能够做的事情的边界
[00:37:00--00:37:02] 就比如说我完全不懂的量子
[00:37:02--00:37:04] 但现在我现在在和一些合作者
[00:37:04--00:37:07] 我们在讨论如何去优化我们量子算法
[00:37:07--00:37:10] 就是我完全看不懂AI输出的这个结果
[00:37:10--00:37:14] 然后我拿这个报告去给专门做量子算法的老师
[00:37:14--00:37:16] 他说这很惊讶
[00:37:16--00:37:18] 确实是有一些这个
[00:37:18--00:37:23] 比如说更高比特的这个算法可以去设计出来
[00:37:23--00:37:25] 然后另外呢就是我PPT
[00:37:25--00:37:27] 包括今天报告的PPT
[00:37:27--00:37:28] Codex帮我优化过的
[00:37:28--00:37:32] 就是可以大大节省我的这个准备材料的这个时间
[00:37:32--00:37:33] 包括我现在
[00:37:33--00:37:34] 其实我的Codex还在跑
[00:37:34--00:37:36] 还在帮我优化一些这个workflow
[00:37:36--00:37:37] 就是
[00:37:37--00:37:40] 所以现在就是我就就是和大家一样啊
[00:37:40--00:37:41] 我会觉得这些token
[00:37:41--00:37:43] 我每天必须要花掉一部分
[00:37:43--00:37:45] 我今天才才能安心的睡觉
[00:37:45--00:37:55] 就是不然就觉得好像是浪费到了一个非常就是至少至少博士水平以上的这样的一个合作者我浪费到了他的能力
[00:37:55--00:37:56] 不会有这样的感觉
[00:37:56--00:38:00] 就是因为现在我也很长时间很多时候我们在像AI学习
[00:38:00--00:38:02] 就是他给我一些输入input
[00:38:02--00:38:04] 然后呢我这边可以去做一些思考
[00:38:04--00:38:06] 然后去做一些决策
[00:38:06--00:38:08] 所以可能对于呃
[00:38:08--00:38:13] 其实对于学生或者是对于我们的这个能力的要求是有一点变化的
[00:38:13--00:38:16] 原来我们挑学生挑什么
[00:38:16--00:38:18] 挑呃勤奋的
[00:38:18--00:38:19] 被被东西快的
[00:38:19--00:38:22] 但现在这些能力是完全变掉了
[00:38:22--00:38:23] 我们现在需要的什么
[00:38:23--00:38:28] 是需要能够对模型输出的答案有正确或者错误的判断的
[00:38:28--00:38:33] 就是他能够知道当前他的模型的输出是好的还是不好的
[00:38:33--00:38:35] 然后有哪里潜在可以优化的方向
[00:38:35--00:38:42] 就是可能呃就是能力要从这个记忆到就是有一些这个呃辨别
[00:38:42--00:38:45] 然后指导然后有一些判断力这些上面
[00:38:45--00:38:49] 就是我们才能够更好的去和AI做协作
[00:38:49--00:38:51] 我现在就说AI他是我们的这个合作者
[00:38:51--00:38:53] 而不是一个我们的工具
[00:38:53--00:38:57] 就是已经从工具到合作者有一个这样的一个呃变化了
[00:38:57--00:39:01] 那那到未来是不是确实是一种呃更紧密的协作方式
[00:39:01--00:39:03] 我觉得都是可以在做畅想的啊
[00:39:03--00:39:04] 这是我这边的观点
[00:39:04--00:39:11] 好呃因为时间的关系啊所以我们今天就还有最后一个问题
[00:39:11--00:39:14] 我们就比较偏技术向的一个问题
[00:39:14--00:39:16] 那其实就是我们可以从卫文老师开始
[00:39:16--00:39:18] 然后到呃余帅老师
[00:39:18--00:39:19] 然后到肖腾老师对
[00:39:19--00:39:22] 然后因为卫文老师大会还有还有事
[00:39:22--00:39:26] 对然后我们最后一个问题就是想问就是在当下这个时间节点
[00:39:26--00:39:29] 不管是从业界也好还是说从学界也好
[00:39:29--00:39:35] 学界也好你们对于self involving agent这个方向上你们觉得最有价值的一个问题是什么
[00:39:35--00:39:39] 就比如说ok你在self involving agent这个方向你最关注的一个问题是什么
[00:39:39--00:39:45] 然后你可以说啊一年内的或者说是五年内的就大概是有两个这样子的一个一个视角
[00:39:45--00:39:47] 或者说从学界或者业界这样的两个视角
[00:39:47--00:39:51] 就大概会有两个问题或者说是时间尺度或者说这种不同的角度
[00:39:51--00:39:57] 对可以先从卫文老师开始好的那我其实如果是问到一个问题的话
[00:39:57--00:40:03] 我的答案可能就是边界就是他要包括刚刚像洪瑞有分享过就是现在模型
[00:40:03--00:40:07] 他现在还是对于自己知道什么不知道什么能做什么不能做什么
[00:40:07--00:40:10] 他的这个边界感稍微还是有点不太清晰
[00:40:10--00:40:13] 就是我觉得如果要做到self involving
[00:40:13--00:40:18] 他的一个非常基础的能力就是要知道自己呃能力在哪
[00:40:18--00:40:20] 然后什么时候能做什么时候不能做
[00:40:20--00:40:24] 那么就是他可以逐渐的拓宽边界就是self involving
[00:40:24--00:40:27] 他其实就在逐渐拓宽边界的这个过程吧
[00:40:27--00:40:30] 那所以前提最基础的就是他要知道自己的知识
[00:40:30--00:40:34] 内外的边界和能够行动的内外的边界
[00:40:34--00:40:36] 所以其实包括像work model
[00:40:36--00:40:42] 他其实也是在呃在这个范畴里面就是他要通过对于呃环境的感知
[00:40:42--00:40:45] 来够来更加明确自己当前的这个能力在哪里
[00:40:45--00:40:50] 所以这个也是我们当前目前重点关注的一项提升的这个呃方向吧
[00:40:50--00:40:54] 就是提升他自己对于自己未来的一个环境的一个planning
[00:40:54--00:40:57] 或者是感知以及他的这个边界感
[00:40:57--00:41:05] 如果你好像精英了
[00:41:05--00:41:11] 哦好我们就就请你来回答一下对到你了
[00:41:11--00:41:16] 对哦那个对我我觉得我我我最关心的我觉得可能还是去啊
[00:41:16--00:41:21] how to benchmark吧就是呃因为他一个在持续迭代的agent
[00:41:21--00:41:26] 我觉得是我们之前所关注这些动就是静态的benchmark
[00:41:26--00:41:28] 所没有呃很好的evaluate到的
[00:41:28--00:41:32] 然后包括就是委员老师他们做的这个projective
[00:41:32--00:41:36] 其实呃谈到projective他肯定就有这个user的invote对吧
[00:41:36--00:41:38] 然后在一个动态的过程里面
[00:41:38--00:41:42] 然后怎么去对一个呃agent去做evaluation
[00:41:42--00:41:45] 而且就是我们期待他是self evolution的
[00:41:45--00:41:48] 那我们的target一定不是有一个
[00:41:48--00:41:50] 如果要是要是有一个那可能我们就自己优化一下
[00:41:50--00:41:52] 就自己优化一下他就ok了
[00:41:52--00:41:53] 然后但是他如果要是有多个
[00:41:53--00:41:57] 然后那么我们可能需要一套这个比较sizmatic的方法
