[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解风后的人间烟火气息
[00:40:58] 啊所以没有想太多
[00:40:59] 有其他人做这样的选择吗
[00:41:02] 在涂老师沟通的学生中
[00:41:04] 呃应该基本上没有我是看过的学生的学生呢
[00:41:06] 我是他在UCSD招的第一个学生
[00:41:09] 哦那我觉得光凭这一点涂老师应该非常喜欢你
[00:41:12] 呃我觉得这个都是对我觉得也是他救了我吧
[00:41:16] 啊确实是当然这个也不只是一开始劳了我再到后面做research在PhD的过程中
[00:41:21] 我觉得他也也是真的帮帮到了我
[00:41:25] 对我之前像在新加坡实习啊什么的
[00:41:28] 你可以认为我们在做一些research
[00:41:30] 但事实上啊可以说还是小打小闹
[00:41:33] 对有一个人在你的旁边
[00:41:36] 教你做事这种感受还是不一样的
[00:41:39] 涂老师是那种坐在你的显示器旁边
[00:41:42] 跟你一行一行代码往后去对的这样一个老师
[00:41:45] 嗯
[00:41:46] 而且他也经常啊我觉得很骄傲的会跟我们说这些事情
[00:41:50] 并且我觉得他也非常值得啊这样的骄傲
[00:41:53] 就是说他发了几篇其实对后面的这个计算机视觉有重要影响的工作
[00:41:59] 都是他独立当个作者完成的工作
[00:42:02] 啊
[00:42:03] 然后这些工作
[00:42:05] 没有什么
[00:42:06] 像现在一样大家用派托而去有这么多这些开源的社区
[00:42:09] 有这么多的这些库你可以调用
[00:42:12] 对吧
[00:42:12] 有GPU啊在他那个时候什么都没有
[00:42:15] 他要从底层开始写起
[00:42:17] 比如说他要做图像分割这样一个task
[00:42:21] 他要从头写起
[00:42:23] 大概有五万行的这样一个代码
[00:42:24] 他还把这个代码发给我看过啊
[00:42:26] 那这个包含的最底层的啊这些这些包括一些distributed training啊一系列的这些东西啊全都是C++写的
[00:42:35] 对五万行代码
[00:42:36] 我觉得啊一方面我觉得我很幸运不需要经历这些
[00:42:42] 但另一方面我觉得其实啊他们这一辈的在美国的这些scientist
[00:42:50] 这些professor真的是令人敬佩
[00:42:53] 对如果没有他们的话也没有我们的今天
[00:42:55] 他们其实是闯出了一条路
[00:42:59] 对本来这条路是不存在
[00:43:01] 像我说的对吧
[00:43:02] 发一篇CVPR
[00:43:04] 这件事情其实
[00:43:05] 是非常非常困难的事情
[00:43:07] 并且有某个圈子啊
[00:43:10] 有某个固定的圈子
[00:43:12] 对然后我觉得我觉得要靠涂老师啊
[00:43:15] 要靠其实他的他的老板对吧
[00:43:19] 朱松纯教授
[00:43:20] 然后包括后来像飞飞啊等等啊
[00:43:23] 飞飞老师
[00:43:24] 然后大家把这条路蹚出来
[00:43:26] 让我们才有路可走
[00:43:28] 嗯
[00:43:29] 我看到有个小红书评论说
[00:43:32] 现在您在国内表现频频
[00:43:34] 平凡
[00:43:35] 无奇
[00:43:36] 到了美国一鸣惊人
[00:43:37] 在变量到底是什么呢
[00:43:40] 首先首先我觉得没有在国内频频无奇吧
[00:43:43] 嗯我不接受
[00:43:45] 然后在美国也没有一鸣惊人
[00:43:47] 我也不接受
[00:43:48] 我觉得我觉得好像我做的这件事情
[00:43:51] 还是一个满smooth的一个一个很平滑的一个过程
[00:43:56] 对然后或者说我觉得这也是我希望
[00:43:59] 呃我作为一个研研究人员对吧啊
[00:44:02] 这种这种科学从业者吧啊
[00:44:05] 我希望能够处在的一个位置
[00:44:09] 就是说这件事情不是一瞬间的荷尔蒙或者肾上腺素的爆发
[00:44:16] 这件事情可能是一个终其一生的一个建设啊
[00:44:20] 一种一种很宁静的一个过程啊
[00:44:23] 我是希望希望自己能处在这样的状态
[00:44:25] 我说这样的状态是因为我知道很多人就是就是这样的状态
[00:44:29] 对这些我最崇敬的这些这些researcher
[00:44:32] 他们就是这样的状态
[00:44:33] 对他们没有没有说怎么有这种一鸣惊人的啊
[00:44:38] 或者至少他们的做事情的方式不是或者做事情的目的不是为了一鸣惊人
[00:44:43] 对我觉得是这样
[00:44:45] 是为了什么
[00:44:47] 是为了还是把问题想清楚
[00:44:49] 嗯
[00:44:50] 你博士期间的工作是怎么展开的呀
[00:44:54] 哦博士期间工作也很有意思
[00:44:56] 对博士期间工作呃
[00:44:58] 我觉得也是靠这个托老师手把手带
[00:45:00] 对但呃
[00:45:02] 我们有第一篇论文啊
[00:45:03] 呃
[00:45:04] by the way
[00:45:04] 我我在博士期间也不是一个成功的博士的学生
[00:45:09] 按现在的这种standard来看
[00:45:10] 我一共发了可能应该有五六篇鼎会的paper吧
[00:45:14] 哦
[00:45:15] 啊
[00:45:15] 这个是什么水平
[00:45:17] 我不知道在那个时代应该还行吧
[00:45:18] 是能找找到顶尖实验室工作的水平
[00:45:21] 现在可能已经是对
[00:45:24] 现在现在我的很多学生要比我当初要发的多的多的多的paper啊
[00:45:29] 然后工作质量也好得多
[00:45:31] 但是
[00:45:32] anyway
[00:45:32] 就是一开始的话
[00:45:33] 我觉得我们做了一个工作叫做呃deeply super s
[00:45:36] nets
[00:45:36] 嗯对这个工作其实是我跟另外一个更高年级的博士生一起合作完成的啊
[00:45:43] 然后这个时候
[00:45:44] 这这是201314年的时候
[00:45:47] 是吧
[00:45:47] 然后这时候是深度学习终于开始爆发
[00:45:52] 但我觉得这也是一个很有趣的时间点
[00:45:53] 因为其实有很多人不接受这件事
[00:45:56] 尤其很多做计算机视觉老师生都不接受这件事
[00:46:00] 嗯
[00:46:00] 就大家觉得
[00:46:02] 深度学习还是一个炼金术啊还是一个黑盒子啊
[00:46:08] 大家更相信传统的机器学习理论
[00:46:11] 相信svm或者想相信一些啊贝耶斯学派的一些理论对啊
[00:46:17] 能够及时的转转身去做深度学习研究这件事情现在看起来对吧
[00:46:23] 开着这个历史的后视镜都是一个no brainer
[00:46:26] 就是你你不需要做这样的选择对吧
[00:46:28] 你就应该这么去做
[00:46:29] 在但在当时要做出来这样的选择
[00:46:31] 我觉得是需要一些勇气的
[00:46:33] 所以图老师其实是我这也是我另外一个非常啊非常敬佩他
[00:46:38] 并且我我深深的受到了这这件事情影响的啊这么一个一个事情
[00:46:43] 那就是说他其实是很及时的做了这个转身
[00:46:46] 所以这个dp super s nets啊就是在这个时代我们我们第一个deep learning的一个工作是吧
[00:46:53] 所以这件事情的呃事情也很简单啊
[00:46:56] 这件事情就是说我们怎么样啊你所有的这些神经网络啊
[00:47:01] 在之前都是只是一个所谓的single string都是一个长长的链条
[00:47:05] 嗯然后有有你的输入
[00:47:07] 然后得到你的输出
[00:47:08] 对吧
[00:47:09] 然后现在dp super s nets
[00:47:11] 就是说你现在其实可以有multiple的branch
[00:47:13] 就是说你的一个神经网络其实可以有多个出口
[00:47:19] 你在不同的出口上你都可以施加一个监督信号
[00:47:23] 这样的话一个最直接的一个好处就是说你可以啊不止从最远端的这个信号做back
[00:47:31] propagation回到呃之前的early的这个layers
[00:47:34] 反向传播
[00:47:35] 对你你你你不需要从最远端做反向传播一路到最最头啊
[00:47:41] 你其实可以从中间的一个节点做反向传播
[00:47:44] 这样可以解决一部分这种梯度消失的问题
[00:47:47] 嗯然后这件事情其实跟后来比如大家做rest net其实也有点神似啊
[00:47:55] 其实就是或者说在那个时代大家其实都想要解决这样的问题
[00:47:58] 那db super s nets就是一个要解决这个问题的问题啊
[00:48:01] 一个方式
[00:48:02] 其实这件事情呃虽然很远了
[00:48:06] 这已经again12年前了
[00:48:08] 但我觉得research就是这样
[00:48:10] 12年之后其实我们现在的一些论文又再次用到了同样的这样的设计啊
[00:48:15] 有时候甚至是我们都没有意识到
[00:48:17] 对我觉得这个很有很有意思
[00:48:19] 但这我们先不说12年以后对吧
[00:48:21] 那我第二篇论文其实是叫做这个holistic edge detection
[00:48:26] 就是一个做边缘检测的工作
[00:48:28] hed
[00:48:28] hed对啊
[00:48:30] 我觉得我对这篇工作其实也蛮蛮骄傲的
[00:48:34] 因为这件事情说白了把把一个research问题解决了啊
[00:48:39] 呃
[00:48:40] 既是一种幸运也是一种不幸
[00:48:41] 就是幸运的是说这篇论文是一个不错的论文
[00:48:44] 不幸的事情是当这个问题已经解决了之后
[00:48:47] 那没人后面没人做
[00:48:48] 所以也没有人去cite你的论文了
[00:48:50] 啊
[00:48:51] 所以少了很多citation
[00:48:52] 对
[00:48:53] 呃
[00:48:54] 但是呃
[00:48:55] 但这个工作其实本质上就是一个db super s nets
[00:48:59] dsn
[00:49:00] 呃
[00:49:02] 图像
[00:49:03] 呃
[00:49:03] 或者说边缘检测
[00:49:04] 但但其实是一个全局的呃
[00:49:07] 这种我们叫做pixel labeling
[00:49:09] 就是说像素级别的这种这种标注的这样这样task上面的一个实现
[00:49:14] 嗯
[00:49:15] 对
[00:49:16] 然后这件事情啊
[00:49:19] 也打开了我很多的思路
[00:49:20] 因为我会发现哎
[00:49:22] 原来一个神经网络
[00:49:23] 它的每一层其实是有它隐含的这个结构跟信息在这的
[00:49:28] 你的一个神经网络
[00:49:30] 然后
[00:49:31] again
[00:49:31] 不只有输入跟输出
[00:49:33] 你的中间会有很多的这些信息
[00:49:36] 它代表了这个世界的一个所谓的hierarchical
[00:49:39] 就是层次化的一个结构
[00:49:41] 对于边缘检测来说
[00:49:42] 它代表的就是说你的初级的这些层
[00:49:46] 输出的这些边缘就是更加所谓course
[00:49:49] 更加粗糙的这些边缘
[00:49:50] 对吧
[00:49:51] 然后越往上你的边缘也就更细致
[00:49:53] 所以你最后可以把这所有的这些边缘融合到一起
[00:49:56] 得到一个最贴近于人的认知下的这种边缘了
[00:49:59] 对吧
[00:50:00] 这样的一个输出的结果
[00:50:02] 我觉得这件事情其实是也让我对深度学习有了新的认知
[00:50:07] 它是一个很有趣的东西
[00:50:09] 你可以认为它是一个black box
[00:50:12] 但这个black box的每一个部分
[00:50:14] 你又能把它打开
[00:50:16] 接入一些新的灵感
[00:50:17] 然后达到一些新的目标
[00:50:19] 我觉得这件事情对我启发很大
[00:50:21] 然后这个paper当初对我的人生影响也很大
[00:50:26] 是因为它是发表在ICTV
[00:50:29] 然后也得
[00:50:29] 得到了一个奖
[00:50:30] 这个奖是马尔奖
[00:50:32] 就是其实最佳论文奖的提名
[00:50:34] 还不是最佳论文奖
[00:50:35] 只是一个提名
[00:50:36] 但其实对于马尔奖来说
[00:50:38] 就是它评选两个论文了
[00:50:40] 就是相当于马尔奖的马尔奖提名是两个奖项
[00:50:43] 所以这件事情让我觉得
[00:50:46] 你要说什么一鸣惊人
[00:50:47] 我当初确实觉得
[00:50:49] 你看我也是年少成名了
[00:50:51] 现在当然我们有很多这种中国学生
[00:50:55] 也在这种世界的舞台上得的这些best paper可太多
[00:50:58] 对吧
[00:50:59] 但当初对我来说
[00:51:01] 走上那个舞台
[00:51:02] 然后或者那个讲台吧
[00:51:04] 然后去给这个award presentation
[00:51:07] 去给这个talk
[00:51:08] 我觉得对我的触动是很大
[00:51:10] 我会觉得我的人生开始了
[00:51:14] 对吧
[00:51:14] 然后我会不断的努力
[00:51:16] 我会有越来越多的best paper
[00:51:19] 很不幸这是我最后一次拿best paper
[00:51:22] 这实是博几
[00:51:25] 博二吧
[00:51:27] 然后直到现在
[00:51:29] 前两天春节大家发短信还是说
[00:51:32] 祝你新年快乐best paper多多
[00:51:35] 我说已经过去10年
[00:51:38] 每个人都这么祝我了
[00:51:39] 再也没有得到
[00:51:40] 你还想要吗
[00:51:42] 好问题
[00:51:44] 我觉得这件事情对我来说也没有那么重要
[00:51:47] 一方面是我知道了这个流程
[00:51:50] 我知道其实我得没得一篇best paper
[00:51:54] 可能不代表这边工作的好坏
[00:51:57] 我也知道了当初的
[00:51:59] 我得了那篇best paper
[00:52:01] honorable mention
[00:52:02] 其实多半也是运气
[00:52:04] 这是一个巨大的随机过程
[00:52:07] 一个论文重与不重
[00:52:10] 然后能不能得什么样的奖
[00:52:12] 我觉得这件事情非常非常随机
[00:52:15] 然后如果一件事情这么随机的话
[00:52:17] 它不应该是一个research
[00:52:19] 应该关注的事情
[00:52:20] 所以你到了博二感觉到人生终于开始了
[00:52:23] 对
[00:52:24] 然后人生终于开始了
[00:52:26] 然后立刻现实就把我打翻在地了
[00:52:29] 但也没有那么夸张了
[00:52:31] 就是说我觉得这也是另外一个我读PhD的时候
[00:52:34] 又要感恩陀老师
[00:52:35] 他其实又是一个非常open-minded
[00:52:39] 让我们去探索各种各样不同方向的一个人
[00:52:42] 所以我在PhD的时候一共实习了5次
[00:52:46] 我觉得即使在今天看起来
[00:52:48] 虽然跟学校跟industry已经合作这么广泛的情况下
[00:52:52] 我觉得也是挺难以想象
[00:52:55] 你为什么想去实习
[00:52:57] 我就想走出去去看看
[00:52:59] 可能就像我小时候去旅游是一样
[00:53:02] 我想知道在这个世界不同的地方
[00:53:05] 不同的组织有什么样的事情在发生
[00:53:08] 有哪些人在做哪些事情
[00:53:10] 我想知道这一切
[00:53:12] 而且一方面我跟你说
[00:53:15] 我一直想做人工智能
[00:53:18] 或者想做计算机视觉
[00:53:19] 但另一方面我也会问自己
[00:53:22] What if I'm wrong
[00:53:24] What if万一呢
[00:53:28] 对吧
[00:53:28] 万一
[00:53:29] 这世界上会有另外一个更有趣的事情发生
[00:53:32] 那怎么办
[00:53:33] 所以我觉得这也是另外一个我的一个motivation
[00:53:36] 你去了NEC lab
[00:53:37] 去了Adobe
[00:53:38] 去了Meta
[00:53:39] 去了Google research和DeepMind
[00:53:41] 对
[00:53:42] 感谢背景调查
[00:53:44] 对是的是的是的
[00:53:45] 是这五个地方
[00:53:46] 然后其实前四个都在湾区了
[00:53:49] 所以我其实那段时间其实还是蛮开心的
[00:53:52] 就是每年我有一辆自己的破车
[00:53:55] 然后每年夏天
[00:53:56] 我要把我自己的宿舍
[00:53:59] 转租出去
[00:54:00] 开着我的车
[00:54:01] 一路从南家开到北家
[00:54:04] 八小时的路程
[00:54:06] 有一两次会跟朋友一起
[00:54:08] 大部分时候是我自己在路上
[00:54:11] 我这件事情还蛮酷的
[00:54:13] 所有的身家就在我的车里
[00:54:16] 两个行李箱
[00:54:17] 然后不带走任何一切
[00:54:19] 因为我这个房子我也没了
[00:54:21] 我回来我要再重新找房子
[00:54:23] 居无定所
[00:54:25] 这种流浪式的研究员的生活
[00:54:28] 嗯
[00:54:29] 我还蛮开心的
[00:54:31] 这五家里面你最喜欢谁啊
[00:54:33] 我觉得各有各的特点
[00:54:35] 像这五家里面就是
[00:54:36] 所以我最近也跟学生说
[00:54:38] 我有很多学生
[00:54:39] 然后他们实习
[00:54:40] 其实没有做出来
[00:54:42] 什么好的工作
[00:54:43] 然后我就跟他们说
[00:54:45] 我就会拿我自己举例子
[00:54:47] 我说
[00:54:47] 我做了五次实习
[00:54:50] 一半都没做出来什么东西
[00:54:53] 然后
[00:54:54] 这个实习周期有多长
[00:54:55] 一般都是三个月到六个月
[00:54:58] 所以我大概一半的
[00:54:59] 一年一半的时间在学校
[00:55:00] 一半的时间在湾区
[00:55:01] 当然第半的时候在伦敦
[00:55:03] 对
[00:55:04] 然后我觉得没有什么喜欢不喜欢
[00:55:06] 我会尽量的去diversify
[00:55:08] 我会希望我去的每个地方都不一样
[00:55:12] 对我希望它是一个更多元的经历
[00:55:15] 所以
[00:55:17] NEC Lab
[00:55:17] 它当然是我第一个去的地方
[00:55:20] 然后我觉得在那里
[00:55:21] 我也发了一篇CVPR的论文
[00:55:24] 然后那边
[00:55:25] 有很多很好的小伙伴
[00:55:27] 主要还是华人居多
[00:55:29] 然后大家
[00:55:31] 中午下班了就一起去
[00:55:32] Cupertino
[00:55:33] 去吃饭
[00:55:34] 这是我对它的印象
[00:55:36] 我非常非常喜欢
[00:55:37] 这个集体
[00:55:38] 然后非常喜欢
[00:55:40] 大家做研究的态度
[00:55:41] 然后我也
[00:55:43] 发表了一篇我自己的论文
[00:55:44] 所以我觉得我非常高兴
[00:55:46] 这段经历
[00:55:47] NEC Lab当年应该也是深度学习的聚集地
[00:55:51] 于凯博士也在那里待过
[00:55:53] 是啊
[00:55:54] 是的
[00:55:55] 当然它有两个分部一个在Princeton
[00:55:57] 一个在Cupertino
[00:55:59] 所有做vision
[00:56:00] 做media相关的人都在湾区
[00:56:02] 然后所有做
[00:56:04] 跟这种
[00:56:05] 传统的机器学习相关的
[00:56:07] 工作的人都在
[00:56:09] 都集中在这个Princeton这边
[00:56:13] 然后
[00:56:14] 后面可以有些可以跳过
[00:56:16] 但是反正在Adobe我就没做出来
[00:56:18] 原因是
[00:56:19] Adobe是一个非常非常artistic
[00:56:21] 有这种
[00:56:22] 艺术家气质的公司
[00:56:24] 哦
[00:56:25] 对了
[00:56:26] make sense
[00:56:27] 然后我在那时候在三藩然后
[00:56:29] 然后做一些
[00:56:31] 跟design相关
[00:56:33] 跟这种cross-sourcing
[00:56:34] 就是说你要在互联网上去
[00:56:37] 写一些
[00:56:38] 这种mechanical turk
[00:56:40] 就是一些
[00:56:41] 互联网的这种
[00:56:43] 用户
[00:56:44] Fadeback的这种系统吧
[00:56:45] 对吧
[00:56:46] 然后一些用户反馈系统
[00:56:48] 然后用它来指导一些
[00:56:49] 机器学习跟这种
[00:56:52] 计算机视觉的一些任务
[00:56:54] 比如说segmentation
[00:56:55] 这件事情我就没做好
[00:56:57] 我还对我的mentor
[00:56:58] 是心怀愧疚
[00:56:59] 对啊
[00:57:00] 但他们也都很有善了
[00:57:02] 对
[00:57:03] 啊
[00:57:03] 但这也是一次让我体会到其实
[00:57:06] It's ok
[00:57:07] 没有做出来什么东西其实也不是
[00:57:10] The end of the world
[00:57:10] 对吗
[00:57:11] 也不是世界末日
[00:57:12] 但那段时间其实还是蛮消沉的
[00:57:15] 然后这段消沉期
[00:57:17] 其实一直持续到了我去meta实习
[00:57:20] 在学校里好像也没有做出来什么
[00:57:22] 有趣的工作
[00:57:24] 然后到了meta之后
[00:57:27] 呃
[00:57:28] 我实际上的学习只有可能三个月的时间
[00:57:31] 我在前两个月
[00:57:32] 基本上也
[00:57:33] 我在explore一些东西
[00:57:35] 在探索一些东西
[00:57:36] 也是跟这种
[00:57:37] 神经网络的架构相关一些东西
[00:57:40] 但也没探索出来什么东西
[00:57:41] 什么名堂
[00:57:42] 啊
[00:57:43] 然后突然一个转机发生了
[00:57:45] 啊
[00:57:46] 这个
[00:57:47] 凯明加入了fair
[00:57:49] 在那个时候
[00:57:50] 对
[00:57:51] 所以这大概是我实习的一半的时候
[00:57:53] 何凯明老师然后加入了fair
[00:57:56] 然后成为了一个
[00:57:57] full time的研究员
[00:57:58] 所以那是我第一次跟凯明共事
[00:58:02] 那是我第一次三他学习
[00:58:05] 对
[00:58:05] 然后那时候也建立了一些
[00:58:08] 深厚的友情吧
[00:58:09] 我觉得
[00:58:09] 因为那时候他第一次来美国
[00:58:13] 他有很多
[00:58:14] 第一次是在这个fair的时候
[00:58:16] 发生的
[00:58:18] 对吧
[00:58:18] 他那时候也不会开车
[00:58:20] 第一次来美国也人生地不熟
[00:58:22] 我要开着车带着他出去吃饭
[00:58:25] 然后送他回家
[00:58:26] 有时候
[00:58:26] 但他后来也会自己学车
[00:58:29] 然后他也不会用Linux
[00:58:32] 这件事情也很有意思
[00:58:34] 对
[00:58:34] 因为在微软的时候
[00:58:35] 他们都用
[00:58:36] 他们只能用Windows来编程
[00:58:38] 对
[00:58:38] 所以我要教凯明
[00:58:40] 怎么样用这些cluster
[00:58:41] 怎么样用Linux
[00:58:42] 对
[00:58:43] 但你会发现
[00:58:44] 凯明
[00:58:46] 这个
[00:58:47] 这个是凯明
[00:58:48] 不是没有原因的
[00:58:49] 对
[00:58:49] 然后我觉得
[00:58:50] 我觉得像他身上真的是有这种
[00:58:54] 可以叫他光环
[00:58:56] 或者我可以叫他某种
[00:58:58] 这种现实扭曲引力场吧
[00:59:02] 这其实是Steve Jobs的说法
[00:59:04] 就是说Steve Jobs
[00:59:05] 周围的人受到他的影响
[00:59:07] 都会觉得现实发生了扭曲
[00:59:09] 对吧
[00:59:10] 有些本来完全做不到的事情
[00:59:12] 现在慢慢竟然可以做到了
[00:59:14] 我觉得凯明也是有这样的魔力
[00:59:16] 对
[00:59:16] 然后所以这是我第一次看到
[00:59:19] 说一个真正顶尖的研究员
[00:59:21] 是怎么样做research的
[00:59:23] 你那个时候实习期只剩一个月了
[00:59:25] 你们为什么能够做到这个目的
[00:59:26] 你怎么能够建立起身后的友谊
[00:59:27] 我觉得
[00:59:29] 我觉得一是生活上的交流
[00:59:31] 他为什么选择你呢
[00:59:33] 他为什么跟你交流呢
[00:59:34] 因为我在那边是一个intern
[00:59:36] 然后我的manager
[00:59:37] 就把我委托给凯明了
[00:59:39] 因为反正我做的也很不好
[00:59:42] 也没做出啥东西
[00:59:44] 然后凯明来了说
[00:59:45] 凯明你来带一带吧
[00:59:46] 你参与参与讨论吧
[00:59:47] 对
[00:59:48] 所以那时候还剩了一个月的时间
[00:59:49] 然后凯明就说
[00:59:51] 要不我们来一起参加一下
[00:59:54] 这个ImageNet Challenge
[00:59:55] 对
[00:59:56] 就打这个
[00:59:56] 这个比赛
[00:59:56] 然后我说
[01:00:00] 好呀
[01:00:01] 那我们来打这个比赛
[01:00:02] 因为凯明在微软的时候
[01:00:04] 他做出他这些工作
[01:00:06] 就是靠打ImageNet比赛
[01:00:08] 对吧
[01:00:09] 然后一步一步打起来的
[01:00:10] 所以我们也来去
[01:00:13] 去玩ImageNet Challenge
[01:00:16] 然后在这个过程中
[01:00:19] 我们就发现
[01:00:21] 我们之前想到的一些思路
[01:00:23] 其实是一个rhythmal思路
[01:00:26] 其实是一个很好的思路
[01:00:27] 对吧
[01:00:28] 然后其实这个idea
[01:00:29] 我propose给凯明
[01:00:30] 凯明他的魔力在于
[01:00:32] 他能把他能把所有很普通的东西
[01:00:36] 变成一个金字般之前的这个idea
[01:00:39] 嗯对
[01:00:39] 所以我们做了这个rest next的这个工作
[01:00:42] 然后这个也是我们参加ImageNet的challenge的一个一个solution
[01:00:46] 一个一个submitted solution
[01:00:48] 然后我们当初得第二名
[01:00:50] 没得第一名
[01:00:51] 但我觉得我们其实是
[01:00:53] in fact应该是第一名
[01:00:54] 因为第一名的solution是什么呢
[01:00:55] 第一名的solution是一个就是ensemble的solution
[01:00:58] 就是把一些之前的算法
[01:01:00] 做模型融合融合起来的一个一个solution
[01:01:03] 对
[01:01:04] 然后我们其实是一个全新的框架
[01:01:06] 嗯对
[01:01:08] 然后然后那个时候
[01:01:09] 呃对
[01:01:11] 我觉得我觉得rest next想要讲
[01:01:12] 讲述的事情也是在涉及到我们怎么样去
[01:01:16] 通过一个去更改我神经网络的架构
[01:01:19] 去学到一个更加scalable
[01:01:21] 对吧
[01:01:22] 可以扩展化的这样一个representation
[01:01:24] 这样一个表征啊
[01:01:25] 这这件事情其实也非常好玩
[01:01:27] 因为这件事情啊
[01:01:30] idea非常非常简单
[01:01:31] 他就是说原来比如说我的restnet只是一个串行的网络
[01:01:34] 对吧
[01:01:35] 只有一层一层一层的这样的这样的confliers
[01:01:39] 现在我可以平行的扩展成好几个不同的groups
[01:01:44] 每一个group里面有单独的自己的一个小网络
[01:01:48] 相当于你是网络在一个大的网络里面
[01:01:51] 又平行的分布着很多小网络
[01:01:54] 嗯啊
[01:01:55] 好
[01:01:55] 那这个事情为什么有意思
[01:01:56] 因为按现在的话来说这件事情就是moe
[01:01:59] 哦
[01:02:00] 对
[01:02:01] 所以所以我们当初在至少在image.net上面已经看到了某种scaling behavior
[01:02:05] 就是说当你的group的数目越多
[01:02:09] 你的这种神经网络也就越稀疏
[01:02:13] 啊
[01:02:14] 然后你的神经网络越稀疏
[01:02:16] 你的宽度越越大
[01:02:18] 但你就能够在同样的这种flops这种计算量下
[01:02:21] 然后得到更好的结果
[01:02:23] 他又收敛的更快
[01:02:24] 然后你最后的结果也会变成这样的
[01:02:25] 那这个是什么意思
[01:02:26] 我觉得这件事情跟现在大家在moe export的东西也是不谋不谋而合的
[01:02:31] 这个工作算不算凯明那个restnet的延伸呀
[01:02:35] 是的是的
[01:02:36] 所以为什么叫restnet的凯明说
[01:02:38] 对这个这个是
[01:02:40] this restnet
[01:02:43] 所以他这个x既是既是next啊
[01:02:46] 既是下一代的restnet
[01:02:48] 也是给了给了我的一些给了我一些credit啊
[01:02:54] 对啊
[01:02:56] 凯凯凯明是一个很会取名的人
[01:02:59] 对给给paper取名的人
[01:03:01] 对后面很多这些论文其实都是他帮我们取名的
[01:03:04] 嗯
[01:03:05] 他会他会把人的名字藏进去
[01:03:08] 倒也不会倒也不会不是每次都会这样做
[01:03:10] 但只是说是一个巧思吧
[01:03:12] 我觉得这也是他的research taste的一部分
[01:03:14] 那为什么要把你藏进去
[01:03:15] 不知道啊
[01:03:16] 我觉得我觉得可能也是啊
[01:03:20] 啊我其实不知道没有问过他嗯
[01:03:23] 你们那个时候已经公示多久了
[01:03:25] 你的实习期有延长吗
[01:03:27] 这都是在那一个月里面发生的
[01:03:29] 对就是在一个月里面发生的
[01:03:31] 这样的事情不计其数
[01:03:32] 我我很多很好的工作
[01:03:34] 其实都是同样的节奏
[01:03:36] 就是一开始怎么做都做不出来
[01:03:38] 哦
[01:03:39] 然后到最后突然一瞬间有灵感的迸发
[01:03:42] 然后把这件事情收敛
[01:03:44] 就是research从来不是一个线性的发展
[01:03:47] 或者说一个线性发展的research永远不是好的research
[01:03:50] 嗯
[01:03:51] 对
[01:03:52] 然后我们很多的工作其实都是非线性的
[01:03:55] 我之后可以给你再讲一些其他的story
[01:03:57] 嗯
[01:03:58] 啊
[01:03:59] 对反正反正这时候是是跟凯明
[01:04:01] 然后我就我就结束了
[01:04:02] 然后就这段时期也就结束了
[01:04:04] 但是你们有意保持下来了是吗
[01:04:06] 我觉得是的对
[01:04:07] 嗯
[01:04:08] 然后去完了meta
[01:04:09] 这个又是一个有成果的一一份实习
[01:04:12] 我觉得是一份有成果的实习
[01:04:14] 在google呢
[01:04:15] 在google啊
[01:04:16] 我觉得做的做的也也还不错
[01:04:20] 因为我开始去了解一些
[01:04:22] 视频是怎么玩的
[01:04:23] 对这些时期都跟我之前做的东西都不一样
[01:04:26] 每段时期跟我之前做过的topic都不一样啊
[01:04:30] 所以导致我最后的毕业的论文
[01:04:32] 其实啊表面上其实是很散的
[01:04:37] 但我还是能找到一个方式把他们串起来
[01:04:40] 然后串起来的方式我再告诉你
[01:04:42] 哈哈哈
[01:04:43] 但是但总之是在google的时候
[01:04:45] 我去研究了一下这些视频的这种这种啊
[01:04:48] 神经网络的这种架构跟训练的啊流程到底应该是怎么样
[01:04:53] 我觉得也收获也蛮大
[01:04:54] 嗯
[01:04:55] 我有一个疑惑
[01:04:56] 因为你既然在meta跟凯明合作的很好
[01:04:59] 然后他又是一个鼎鼎大名的AI的researcher
[01:05:02] 你为什么不留下来继续跟他合作
[01:05:04] 我觉得很多人可能会这么选择
[01:05:06] 你为什么要接着去其他地方去游览了呢
[01:05:09] 呃这是这其实是凯明的建议
[01:05:11] 凯明会建议每个人去不同的地方实习
[01:05:14] 这样才能去有最大最最大化的收获
[01:05:17] 对
[01:05:18] 所以像我们当初我啊
[01:05:20] 包括王小龙啊
[01:05:22] 啊大家其实都是实习了一次
[01:05:24] 然后然后之后呃我们当然都愿意留下来
[01:05:27] 但凯明说你们去其他地方看看吧
[01:05:30] 对也许会有不一样的收获
[01:05:32] 嗯
[01:05:33] 但是你博士毕业以后回到了meta
[01:05:35] 是的对
[01:05:36] 我觉得我觉得还有就是在google时期完了之后
[01:05:39] 紧接着又去了dmine时期
[01:05:41] 我觉得那段经历其实是对我启发是很大的
[01:05:44] 嗯dmine那时候还不属于google
[01:05:47] 呃
[01:05:48] 还没有收购是吗
[01:05:49] 不不收购
[01:05:50] 哦已经收购了
[01:05:51] 但是是两个不同的不同的organization
[01:05:52] 嗯
[01:05:53] 因为他呃只在伦敦
[01:05:54] 嗯
[01:05:55] 对
